matricula,hash_usuario,produto
F0102549,x3v2cosw,Pix
F0103141,4h37oiyz,Crédito PF
F0103142,foszbqz2,Pix
F0103176,vrtyuqwq,Pix
F0103219,xq81yx8y,Pagamentos
F0105559,g4s7bi4z,Pagamentos
F0105819,xr7v2wc6,CDC
F0107579,t919qsbc,CDC
F0109259,u8x6akx8,Pagamentos
F0109457,8x0mh60o,CDC
F0109719,d3q7k2o4,Pix
F0109769,xpm0n7tu,Crédito PF
F0110436,0ek2h3bw,CDC
F0110437,3403nsyo,Crédito PF
F0110438,0nqdz7za,Pagamentos
F0111219,uh1hiwu9,Crédito PF
F0112196,r6ubhhcv,Pagamentos
F0112238,acd0wbpm,Pix
F0112248,dy6evtkj,Pix
F0112259,ym32rm7p,CDC
F0112279,iq9el388,CDC
F0112929,kephe0r2,Pix
F0113279,7bc1q80x,CDC
F0113358,vhliftht,Pagamentos
F0114199,5vtlmk0w,CDC
F0114497,g4nl4afk,Pix
F0114498,u3n7ct2k,Pagamentos
F0115049,h49lr09p,CDC
F0115309,b9ypmobr,Crédito PF
F0115439,4mhviw6e,Crédito PF
F0115729,e4xpg0h9,Pix
F0115809,5q3f2hjt,Pix
F0116399,ucg98a8e,Pix
F0116441,5rp5cdve,Pix
F0116958,pkdcpf5i,Crédito PF
F0117139,5do8ijvo,CDC
F0117269,ksdjnt0z,CDC
F0117279,fc3em7zs,Pix
F0118399,63r8xpuj,Pagamentos
F0118669,rjpomuz4,Pagamentos
F0118709,0u4cu0a5,Crédito PF
F0119338,i5kf1ns4,Pix
F0119339,s1t9v4pp,Crédito PF
F0119958,3l9hmx6k,CDC
F0120189,3jitoz81,Pix
F0121009,m4q4qr0j,Pix
F0121377,bjpz4dsp,Pagamentos
F0121459,zk1ek97o,Crédito PF
F0122201,c1qk95mm,Pagamentos
F0123119,6ppfvkwi,Pix
F0123168,sdkyd044,CDC
F0123169,jafkl6xy,CDC
F0123536,a78m8n0k,Pix
F0123538,r4vgmmrl,Pix
F0124199,ma170n4h,Pix
F0124489,r471ob8n,Pix
F0125240,3aw20qgz,Crédito PF
F0125837,iyjbey15,Pagamentos
F0125838,kd782q4r,Pagamentos
F0125839,pl1726om,CDC
F0125841,k7bh6gwg,Pagamentos
F0125842,zqhlwo1z,Crédito PF
F0125847,ex99mn2t,CDC
F0125879,ne3d56tw,Pix
F0125933,plry6amt,Crédito PF
F0125957,zfwiyszs,CDC
F0125958,3af3hbm2,Crédito PF
F0125961,ktq4oghj,Pix
F0125962,ucj5grr6,Pix
F0125963,eeg8cjiz,CDC
F0125964,yu9yp1as,CDC
F0125965,bz81rzca,Pix
F0125969,fhr5c4m7,Pix
F0125970,0700c1r3,Crédito PF
F0125972,ieqnmdpg,Crédito PF
F0125973,rws84276,Pagamentos
F0125974,qttm26oo,CDC
F0125975,63y90lup,Crédito PF
F0125977,45nwvybs,CDC
F0125978,fy5e9l2a,Pagamentos
F0125979,j9vyxppj,Pagamentos
F0125981,vvpm9h4e,Pix
F0126138,b48ixnhc,Crédito PF
F0126139,2q34k0b6,CDC
F0126144,ikrdd909,CDC
F0126146,dcjeyqee,Pix
F0126147,uvp6jsiu,Pix
F0126179,cka6fx8h,CDC
F0126198,na2l02da,CDC
F0126199,dvixhm7n,CDC
F0126201,b357wwg3,CDC
F0126226,y2wujw09,Pagamentos
F0126227,jgd88u5l,CDC
F0126231,wyib9u3l,CDC
F0126233,sy9t8s05,Crédito PF
F0126238,e6e9g6bf,Pagamentos
F0126239,ymklk9rl,Crédito PF
F0126377,zcga6uuy,Pagamentos
F0126393,xy4kjb8n,Crédito PF
F0126398,g866tqc1,Pagamentos
F0126431,ho2wwxo4,Pix
F0126433,8sv643sk,Crédito PF
F0126434,sc30p0lb,Crédito PF
F0126438,stjzb1h3,Pix
F0126439,61ip1py7,Pix
F0126463,k7vbxe12,Pagamentos
F0126464,wvnyut0u,Pagamentos
F0126473,f6h1nb5l,CDC
F0126475,npfssz6f,Pix
F0126478,6ztos3o3,Pix
F0126479,swxapomm,Pagamentos
F0126484,5oqcmmp8,CDC
F0126488,dzd1qc3y,CDC
F0126489,ohan6xxg,Pagamentos
F0126492,057hi2f9,Crédito PF
F0126493,kczeezua,Crédito PF
F0126512,tgeygbft,Crédito PF
F0126658,2icr4trw,CDC
F0126697,rwloeg4l,Pix
F0127448,nunrchot,Pagamentos
F0127449,057jx95h,Crédito PF
F0130819,s81xxjp4,CDC
F0131460,m5abkb2j,CDC
F0131461,urzelgbz,CDC
F0131462,b3akrkrn,Pagamentos
F0131638,tyn6pl1w,CDC
F0131639,hce9t1h6,Pagamentos
F0131769,pyi8hq1z,Crédito PF
F0132442,cn2dkzfd,CDC
F0132443,n0lwqyv2,Crédito PF
F0132444,jktn2m0d,Crédito PF
F0132598,5swhhebi,CDC
F0133179,ra9n6kso,Pagamentos
F0133259,vkuv9b5l,Pix
F0133399,8dbfnyls,Pagamentos
F0133559,06gbe1mj,Crédito PF
F0133599,2678gzjb,CDC
F0134179,pp83jdjz,Crédito PF
F0134228,6p0vatr1,Pix
F0134229,x7f4bic5,Pix
F0134359,jbj1cxco,CDC
F0134679,tdlbq8pw,Pagamentos
F0138239,goxtr4js,Pagamentos
F0140659,fure2gh8,Crédito PF
F0141177,suxgf55g,Pix
F0141178,p97bwg7d,Pagamentos
F0141479,eexx6rr0,CDC
F0141599,ty3xf60q,Pagamentos
F0141898,jw2ghd24,Pix
F0142728,nn5l4wb8,Pix
F0142729,cqx0ramp,Pagamentos
F0142779,xeq5wk0x,Pix
F0142898,g645ons4,CDC
F0142899,a9luxfuj,Pix
F0142907,y8hmu4gi,Pagamentos
F0143068,e2wcmlh2,Pix
F0143069,0m91v0c1,Pagamentos
F0143119,cqx23vkr,CDC
F0143158,k1n6vzlk,Crédito PF
F0143179,vnaj2q6f,Crédito PF
F0143657,qkn8k996,Pix
F0143658,435c20gt,Crédito PF
F0143837,e7hxkoy9,CDC
F0143838,641ircb5,Pix
F0144659,bylips4n,Crédito PF
F0144759,5d71n5m2,CDC
F0144988,satk052i,CDC
F0144989,22vvozf7,Pagamentos
F0145109,8mzzwx92,Pagamentos
F0145161,z23xeakm,Crédito PF
F0145229,kryfjmc7,Pix
F0145231,z86ac27m,Pagamentos
F0145233,1a1dbnlh,Crédito PF
F0145279,q48n8sqh,Pix
F0145469,2i0z3h4x,CDC
F0145509,bmrczzpu,Pagamentos
F0145516,7f7dup09,Pagamentos
F0145517,f48u5d18,Pagamentos
F0145519,nwgjkkv8,CDC
F0145528,m3ai5ipl,CDC
F0145531,brbhg73c,Crédito PF
F0145532,g7z8npqt,CDC
F0145533,29q0hu62,Pix
F0145586,4fv4zk4i,CDC
F0145591,upu7bsel,CDC
F0145599,hnn86ugs,CDC
F0145748,2n1d2dxn,Pagamentos
F0145759,3ls7c3hy,Crédito PF
F0145821,iq8cxzzi,CDC
F0145896,hzorqk83,Pix
F0145939,wu882cf0,CDC
F0145979,srubygre,Pix
F0145989,zci6aam2,Pagamentos
F0146013,wydxd3n2,CDC
F0146376,3wtup0y6,Pagamentos
F0146377,4clikk7a,Pagamentos
F0146511,yp6wz7z2,Pagamentos
F0146514,66qmk0oe,Pagamentos
F0146531,f1czk169,Crédito PF
F0146532,t4uafh42,Pix
F0146533,lbjiqjb3,CDC
F0146538,bfwjgbvr,CDC
F0146551,uxxs6yqg,Crédito PF
F0146689,hpbkcf7w,Pagamentos
F0146717,4fphpsif,Crédito PF
F0146718,98pn2g6r,Crédito PF
F0146749,8b4imgu5,Pix
F0146755,l6fyuc8z,Pagamentos
F0146756,8wy2qzsp,Crédito PF
F0146760,c8mqcrl6,Pagamentos
F0146764,6jrjwnkw,Pix
F0146769,66vzjnbu,Pagamentos
F0146777,q7kwg4v3,CDC
F0146799,ycu34cpx,Pagamentos
F0146920,v7kcdpip,Pix
F0146938,ngg9xwre,Pagamentos
F0146939,9rofuxya,Pagamentos
F0146959,kuhjjyzt,Pix
F0147009,xdalqbq9,CDC
F0147035,ft5cmdfq,Pagamentos
F0147036,zpm33lt5,CDC
F0147038,qmh5xx5e,Crédito PF
F0147049,7m0mx8oq,CDC
F0147054,kywv7a6d,Crédito PF
F0147114,2qw8bqcg,Pagamentos
F0147158,mbm8dnx5,Crédito PF
F0147278,yq74nbdg,Crédito PF
F0147287,qu370opw,CDC
F0147298,v04dkz9y,Crédito PF
F0147299,f0qdrht2,Pix
F0147322,pu65qy1i,CDC
F0147353,4y6sjbup,Pix
F0147399,m3wruewh,Crédito PF
F0147448,sytzwnz5,Crédito PF
F0147449,ref0rn3q,Pagamentos
F0147453,s2sv5xwk,Pagamentos
F0147455,n001noqk,Pagamentos
F0147456,qd121u1e,CDC
F0147466,ql20tbgk,CDC
F0147470,c95gsvn3,CDC
F0147479,ci3p800c,CDC
F0147480,2yaurye6,CDC
F0147487,74qe4cn0,Pagamentos
F0147518,rx2frs50,CDC
F0147519,oy4zwl9k,Crédito PF
F0147524,tonwdanf,CDC
F0147554,vg8mrrz8,Pagamentos
F0147557,zoeedfyx,Pix
F0147558,y2pflkf4,Pix
F0147569,qirmqud7,Pagamentos
F0147604,530ew8u1,Crédito PF
F0147606,1yctzhk4,CDC
F0147608,37lk689k,Pagamentos
F0147609,ktpz0zki,Pix
F0147638,fv0umuiy,CDC
F0147639,gcmb49va,Crédito PF
F0147809,yf3vmw12,CDC
F0147869,n9ar5tap,Crédito PF
F0147891,2wecjfrd,Pagamentos
F0147892,7rgktjq3,Crédito PF
F0147893,n9auenb1,CDC
F0147894,ldhcw5po,CDC
F0147918,p8d2n2vt,Crédito PF
F0148148,66356pmj,CDC
F0148149,zkym5sx2,CDC
F0148659,dwrbmegj,Pagamentos
F0149499,8im1ocpj,Crédito PF
F0151488,2aw3nzys,CDC
F0151523,ocyar0qi,Pagamentos
F0151526,zwn9wx4i,Crédito PF
F0151527,dmllgw4w,Pagamentos
F0152098,zfemfzdw,Crédito PF
F0152099,ttotkyvn,Pagamentos
F0152759,9pbdemv2,Pix
F0152797,8itraxwd,Pix
F0152799,gbmxtgmp,Crédito PF
F0153138,xd70p5yo,Pagamentos
F0153141,87leoyez,CDC
F0153924,ygtsmape,Crédito PF
F0153926,7p3uv408,CDC
F0153928,egbrqo87,Crédito PF
F0153944,gs32gaov,CDC
F0153988,jhq9rich,Crédito PF
F0153989,gv4alq22,Pix
F0154006,uiurh3hz,Pagamentos
F0154049,aq1hflyn,Pagamentos
F0154109,wgzytvq8,Crédito PF
F0154149,7bkpx6jh,Crédito PF
F0154697,ol17ldbs,Pagamentos
F0154698,kypb1zzw,Pagamentos
F0154699,uin8p7o7,CDC
F0154737,xx1no7hj,Crédito PF
F0154799,oi50pv13,Pagamentos
F0156459,w89myh02,CDC
F0156968,vecqiqxv,Pagamentos
F0156969,r03if41b,CDC
F0157559,yq4d09ao,CDC
F0157819,6lagt78c,CDC
F0158498,u7th5u2z,Pix
F0158499,x27el10y,Crédito PF
F0158569,rx8ds4qv,CDC
F0158759,y2m96usu,CDC
F0159118,xncj9nig,CDC
F0159119,d9urp73m,Pagamentos
F0159189,v8nyxqgd,Crédito PF
F0159190,jf93ocrb,Crédito PF
F0159296,43h9k8v8,Pagamentos
F0159297,ei3zps8t,Pagamentos
F0159298,ipcor581,Crédito PF
F0159299,js6s2szq,CDC
F0162499,z6xbu4x8,Pix
F0167089,phpt3ege,Pagamentos
F0167539,hj6ulbyn,Crédito PF
F0167959,ivbwjwjr,Crédito PF
F0168178,mh7k9y61,Pagamentos
F0168193,1b6qijg1,Pix
F0168199,5dwr1e9y,Pagamentos
F0168736,c35qgtg1,Pix
F0168738,2ko9158y,Crédito PF
F0169057,p9ew7523,CDC
F0169058,wm799hj6,Crédito PF
F0169059,ickvtsle,Pagamentos
F0169061,2iwxk02n,Crédito PF
F0169062,39bbrcuq,Crédito PF
F0169065,r8ydcr8e,Pix
F0169066,765vvrbx,Pagamentos
F0169067,zqr20lan,Pagamentos
F0169068,beo2qdbv,Pix
F0169069,rzlqw3re,Pix
F0169071,ejpi2f7i,Pix
F0169072,ifpjnl46,CDC
F0169073,wv7xr05l,Pix
F0169074,7x210nqg,Pix
F0169075,8j3pgjvy,Pagamentos
F0169076,8ynk21ly,Crédito PF
F0169077,29pedj4s,Pix
F0169079,9yutdxn4,Crédito PF
F0169081,yfqhhzca,CDC
F0169082,z2ay6jmh,Pagamentos
F0169083,oyjr6lba,Pagamentos
F0169084,p0p7w6k2,Pagamentos
F0169085,9lcee0o6,Pagamentos
F0169087,6w1kqdke,Pix
F0169090,4yjfgfgu,Crédito PF
F0169091,6hf86bpd,CDC
F0169092,nilk7gxi,Crédito PF
F0169094,abj1lo7f,Pagamentos
F0169095,8gr1tpvb,Crédito PF
F0169097,1o2hud2n,CDC
F0169098,e54db5vm,CDC
F0169099,22fiekgp,Pix
F0169101,52feglj7,CDC
F0169102,vcv0zj3f,Pix
F0169103,i5vbk7ig,Crédito PF
F0169104,pgoojhmk,Pagamentos
F0169105,s56t8ssn,Pagamentos
F0169106,8ji6hu91,CDC
F0169107,wua91462,Pagamentos
F0169108,ac7qwfp4,Pix
F0169110,6kxiqlxj,Pagamentos
F0169111,qzqumuv2,CDC
F0169112,bizb7yyo,Pix
F0169113,e1h00rgu,Pagamentos
F0169114,ujprho63,Pagamentos
F0169115,oekdnd7b,CDC
F0169116,iftrtoj9,CDC
F0169117,4vgzm35b,CDC
F0169118,uz4v3b1c,Crédito PF
F0169119,466c1i8u,Crédito PF
F0169121,x5e6zf9j,Crédito PF
F0169122,uh9lh55g,Crédito PF
F0169123,2lw59dra,Pagamentos
F0169124,w0smetkz,CDC
F0169125,8vrt0e8i,Pagamentos
F0169127,mi2w6b5g,Crédito PF
F0169128,x9kpa1as,Pagamentos
F0169129,n30eqorb,Crédito PF
F0169130,vrgt2iex,Pix
F0169131,8easjqf0,Crédito PF
F0169132,vmyjkb27,CDC
F0169133,tox925j2,Pagamentos
F0169134,3axt66cg,Pagamentos
F0169136,6pl1tqie,Pix
F0169137,wuybrqs2,Pagamentos
F0169138,exb0rog1,Pix
F0169139,8lp3h9bo,Crédito PF
F0169140,wn7nqx4e,CDC
F0169141,aelkq94h,Pix
F0169143,igeslesj,Pix
F0169145,jgpkod6m,Pagamentos
F0169147,2xfd8sci,Pix
